channel,video_count,total_views,total_likes,total_comments,avg_engagement_score
Dhruv Rathee,3,51541597,1909866,152540,687468.6666666666
AlHadath Ø§Ù„Ø­Ø¯Ø«,3,178393552,3117096,79108,1065401.3333333333
AJ+,2,33052430,1848112,43236,945674.0
AlternativeGeopoliticsMapped,2,39760444,600451,36503,318477.0
TRT World,2,42958020,1423058,77271,750164.5
Ulusal Kanal,2,16406150,290549,4873,147711.0
Sama Tube,2,79191519,1836083,47988,942035.5
Ø¨Ù†Øª ØºØ²Ù‡ ,2,78260150,1614969,37293,826131.0
Meaningful People,2,39597928,1092161,105025,598593.0
Abu Elhabal,1,69112357,227114,568,227682.0
Abil AB Channel,1,24570406,319263,1281,320544.0
Abo rany,1,20167392,619065,6253,625318.0
AlJazeera Arabic  Ù‚Ù†Ø§Ø© Ø§Ù„Ø¬Ø²ÙŠØ±Ø©,1,35144693,117919,5781,123700.0
BCT Neus,1,33718149,425577,14609,440186.0
BiGSaM Official,1,24740151,220535,10328,230863.0
Ahmed Elbadawy,1,20460640,548333,29444,577777.0
Al Mashhad Ø§Ù„Ù…Ø´Ù‡Ø¯,1,35267263,1305642,38766,1344408.0
Al Jazeera Mubasher Ù‚Ù†Ø§Ø© Ø§Ù„Ø¬Ø²ÙŠØ±Ø© Ù…Ø¨Ø§Ø´Ø±,1,43214293,102670,0,102670.0
AlArabiya Ø§Ù„Ø¹Ø±Ø¨ÙŠØ©,1,118247167,125528,0,125528.0
Al Jazeera English,1,7821197,394698,15942,410640.0
Firstpost,1,23017385,890780,26582,917362.0
El Universal,1,8903902,292066,12052,304118.0
El Mundo,1,9800568,339315,27916,367231.0
Business 33,1,33460242,1913988,4020,1918008.0
Best Documentary,1,7419085,71440,9259,80699.0
Investigation,1,9328170,71464,11617,83081.0
Humood AlKhudher Ø­Ù…ÙˆØ¯ Ø§Ù„Ø®Ø¶Ø±,1,66898798,806788,46522,853310.0
FlowerğŸŒ¹ girl ğŸ˜­,1,72367556,1205054,6872,1211926.0
Memorias de Pez,1,5514643,96508,4875,101383.0
Mezopotamya AjansÄ±,1,21348208,415692,14460,430152.0
Piers Morgan Uncensored,1,23537240,664676,174026,838702.0
PalestineTV  ØªÙ„ÙØ²ÙŠÙˆÙ† ÙÙ„Ø³Ø·ÙŠÙ†,1,30501628,696212,17379,713591.0
SARAH MEGAHED - Ø³Ø§Ø±Ø© Ù…Ø¬Ø§Ù‡Ø¯ ,1,24621953,757580,9187,766767.0
Little Bit of Everything,1,40099244,1265417,37589,1303006.0
Medyascope TV,1,6786524,170132,7816,177948.0
GOAD CR7 ,1,16445059,0,4156,4156.0
Sky News,1,18807841,241656,23232,264888.0
Save the Children EspaÃ±a,1,7401577,702,0,702.0
SINGO OTRAHUM,1,24624534,347274,586,347860.0
TV9 Bharatvarsh,1,6451164,100940,1193,102133.0
The Australian,1,37972329,471816,3337,475153.0
The Wild Project,1,5593625,210494,8048,218542.0
UNO Afrah,1,41684039,1323930,69843,1393773.0
TGRT Haber TV,1,123248953,2131758,40675,2172433.0
UNREAL0.5,1,30162777,1101627,31652,1133279.0
Voice of America,1,19333581,1017658,23265,1040923.0
islam,1,44262934,622572,23241,645813.0
WFAA,1,32859534,497406,14080,511486.0
rarağŸ£ğŸ’¢,1,44848160,1479374,69892,1549266.0
Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ù…ØµØ±,1,36158678,865374,29912,895286.0
Ø­Ù‚Ø§Ø¦Ù‚-Facts,1,39146048,1182228,60778,1243006.0
ØºØ²Ø©,1,28166157,0,31097,31097.0
